feature_type,feature_id,feature_name,index,genome,num_barcodes,num_reads,num_umis,dup_frac,num_barcodes_cells,num_reads_cells,num_umis_cells,dup_frac_cells
Gene Expression,ENSG00000163507,CIP2A,6874,GRCh38,104,358,106,0.7039106145251397,100,345,102,0.7043478260869565
Gene Expression,ENSG00000198919,DZIP3,6875,GRCh38,88,289,94,0.6747404844290658,84,281,89,0.6832740213523132
Gene Expression,ENSG00000163515,RETNLB,6876,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163519,TRAT1,6877,GRCh38,1024,4627,1205,0.7395720769397017,974,4458,1154,0.7411395244504262
Gene Expression,ENSG00000138472,GUCA1C,6878,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000114487,MORC1,6879,GRCh38,3,9,3,0.6666666666666667,2,6,2,0.6666666666666667
Gene Expression,ENSG00000239314,MORC1-AS1,6880,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000241224,C3orf85,6881,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000261364,AC063923.2,6882,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000214381,LINC00488,6883,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163530,DPPA2,6884,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000121570,DPPA4,6885,GRCh38,9,24,9,0.625,9,24,9,0.625
Gene Expression,ENSG00000228980,LINC01205,6886,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000242029,AC078980.1,6887,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000240895,AC117430.1,6888,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000242242,NECTIN3-AS1,6889,GRCh38,3,12,3,0.75,3,12,3,0.75
Gene Expression,ENSG00000177707,NECTIN3,6890,GRCh38,34,141,34,0.7588652482269503,32,139,32,0.7697841726618705
Gene Expression,ENSG00000153283,CD96,6891,GRCh38,1204,6095,1397,0.7707957342083676,1165,5954,1358,0.7719180382935842
Gene Expression,ENSG00000239311,AC092916.1,6892,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000177494,ZBED2,6893,GRCh38,4,11,4,0.6363636363636364,3,10,3,0.7
Gene Expression,ENSG00000240891,PLCXD2,6894,GRCh38,221,923,228,0.7529794149512459,210,884,217,0.754524886877828
Gene Expression,ENSG00000240766,PLCXD2-AS1,6895,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000144824,PHLDB2,6896,GRCh38,98,441,104,0.764172335600907,93,417,99,0.762589928057554
Gene Expression,ENSG00000286492,AC117509.1,6897,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000144827,ABHD10,6898,GRCh38,459,1917,473,0.7532603025560772,443,1870,457,0.7556149732620321
Gene Expression,ENSG00000144834,TAGLN3,6899,GRCh38,1,5,1,0.8,1,5,1,0.8
Gene Expression,ENSG00000176040,TMPRSS7,6900,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000114529,C3orf52,6901,GRCh38,4,19,4,0.7894736842105263,3,7,3,0.5714285714285714
Gene Expression,ENSG00000174500,GCSAM,6902,GRCh38,59,225,61,0.7288888888888889,56,222,58,0.7387387387387387
Gene Expression,ENSG00000261488,TBILA,6903,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000172139,SLC9C1,6904,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000239482,AC112487.1,6905,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000091972,CD200,6906,GRCh38,95,389,106,0.7275064267352185,88,380,99,0.7394736842105263
Gene Expression,ENSG00000243081,AC092894.1,6907,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000186265,BTLA,6908,GRCh38,101,387,102,0.7364341085271318,97,383,98,0.7441253263707572
Gene Expression,ENSG00000144848,ATG3,6909,GRCh38,2626,16164,3692,0.7715911902994308,2539,15846,3603,0.7726240060583113
Gene Expression,ENSG00000138459,SLC35A5,6910,GRCh38,74,276,74,0.7318840579710144,69,263,69,0.7376425855513308
Gene Expression,ENSG00000091986,CCDC80,6911,GRCh38,4,4,4,0.0,2,2,2,0.0
Gene Expression,ENSG00000240893,LINC02042,6912,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000242770,CD200R1L-AS1,6913,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000206531,CD200R1L,6914,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163606,CD200R1,6915,GRCh38,18,58,19,0.6724137931034483,13,50,14,0.72
Gene Expression,ENSG00000272844,AC074044.1,6916,GRCh38,5,19,5,0.736842105263158,4,14,4,0.7142857142857143
Gene Expression,ENSG00000163607,GTPBP8,6917,GRCh38,489,2520,513,0.7964285714285715,465,2417,489,0.7976830781961108
Gene Expression,ENSG00000163608,NEPRO,6918,GRCh38,711,3215,755,0.7651632970451011,685,3128,729,0.7669437340153453
Gene Expression,ENSG00000240057,AC078785.1,6919,GRCh38,33,137,34,0.7518248175182481,32,135,33,0.7555555555555555
Gene Expression,ENSG00000241219,AC078785.2,6920,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000243795,LINC02044,6921,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000144857,BOC,6922,GRCh38,1,1,1,0.0,0,0,0,0.0
Gene Expression,ENSG00000288079,AC026329.1,6923,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000206530,CFAP44,6924,GRCh38,32,148,33,0.777027027027027,32,148,33,0.777027027027027
Gene Expression,ENSG00000243849,CFAP44-AS1,6925,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163611,SPICE1,6926,GRCh38,177,643,179,0.7216174183514774,171,616,173,0.7191558441558441
Gene Expression,ENSG00000072858,SIDT1,6927,GRCh38,419,1736,449,0.7413594470046083,400,1688,430,0.7452606635071091
Gene Expression,ENSG00000239453,SIDT1-AS1,6928,GRCh38,1,3,1,0.6666666666666667,1,3,1,0.6666666666666667
Gene Expression,ENSG00000176542,USF3,6929,GRCh38,709,3038,747,0.7541145490454246,678,2932,716,0.7557980900409277
Gene Expression,ENSG00000121579,NAA50,6930,GRCh38,1328,6175,1500,0.757085020242915,1277,6031,1449,0.759741336428453
Gene Expression,ENSG00000242659,AC108693.2,6931,GRCh38,2,2,2,0.0,2,2,2,0.0
Gene Expression,ENSG00000114573,ATP6V1A,6932,GRCh38,442,1791,471,0.7370184254606365,428,1757,457,0.7398975526465567
Gene Expression,ENSG00000178075,GRAMD1C,6933,GRCh38,64,301,67,0.7774086378737541,63,300,66,0.78
Gene Expression,ENSG00000273394,AC128687.2,6934,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000184307,ZDHHC23,6935,GRCh38,10,20,10,0.5,10,20,10,0.5
Gene Expression,ENSG00000163617,CCDC191,6936,GRCh38,56,191,56,0.7068062827225131,55,186,55,0.7043010752688172
Gene Expression,ENSG00000287805,AC128687.3,6937,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000285836,AC092896.2,6938,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000151576,QTRT2,6939,GRCh38,455,2095,484,0.7689737470167064,442,2049,471,0.7701317715959004
Gene Expression,ENSG00000151577,DRD3,6940,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000241490,AC093010.2,6941,GRCh38,99,279,102,0.6344086021505376,91,266,94,0.6466165413533835
Gene Expression,ENSG00000174255,ZNF80,6942,GRCh38,9,25,10,0.6,9,25,10,0.6
Gene Expression,ENSG00000181847,TIGIT,6943,GRCh38,165,753,191,0.7463479415670651,145,693,171,0.7532467532467533
Gene Expression,ENSG00000259976,AC093010.3,6944,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000181722,ZBTB20,6945,GRCh38,1036,3693,1139,0.6915786623341457,982,3575,1085,0.6965034965034965
Gene Expression,ENSG00000241560,ZBTB20-AS1,6946,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000242290,ZBTB20-AS5,6947,GRCh38,7,13,7,0.46153846153846156,6,12,6,0.5
Gene Expression,ENSG00000241295,ZBTB20-AS2,6948,GRCh38,1,1,1,0.0,0,0,0,0.0
Gene Expression,ENSG00000239946,ZBTB20-AS3,6949,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000242767,ZBTB20-AS4,6950,GRCh38,19,64,19,0.703125,19,64,19,0.703125
Gene Expression,ENSG00000242880,AC026341.1,6951,GRCh38,14,41,14,0.6585365853658536,13,39,13,0.6666666666666667
Gene Expression,ENSG00000287795,AC026341.2,6952,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000288074,AC026341.3,6953,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000172020,GAP43,6954,GRCh38,18,19,19,0.0,0,0,0,0.0
Gene Expression,ENSG00000241596,AC092468.1,6955,GRCh38,6,16,6,0.625,6,16,6,0.625
Gene Expression,ENSG00000185565,LSAMP,6956,GRCh38,5,5,5,0.0,0,0,0,0.0
Gene Expression,ENSG00000240922,LSAMP-AS1,6957,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000241397,LINC00903,6958,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000243197,TUSC7,6959,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000242385,LINC00901,6960,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000239268,AC092691.1,6961,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000241213,LINC02024,6962,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000242816,AC092691.3,6963,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000243276,AC068633.1,6964,GRCh38,1,1,1,0.0,0,0,0,0.0
Gene Expression,ENSG00000286660,AC068633.2,6965,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000144847,IGSF11,6966,GRCh38,4,9,4,0.5555555555555556,2,7,2,0.7142857142857143
Gene Expression,ENSG00000239877,IGSF11-AS1,6967,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163424,TEX55,6968,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000114638,UPK1B,6969,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000121578,B4GALT4,6970,GRCh38,496,1942,514,0.7353244078269825,477,1901,495,0.7396107311941084
Gene Expression,ENSG00000240254,B4GALT4-AS1,6971,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000031081,ARHGAP31,6972,GRCh38,386,1364,416,0.6950146627565983,379,1344,409,0.6956845238095238
Gene Expression,ENSG00000241155,ARHGAP31-AS1,6973,GRCh38,25,40,25,0.375,25,40,25,0.375
Gene Expression,ENSG00000176142,TMEM39A,6974,GRCh38,806,3467,843,0.7568503028554947,775,3345,812,0.7572496263079223
Gene Expression,ENSG00000163389,POGLUT1,6975,GRCh38,156,618,157,0.7459546925566343,148,603,149,0.7529021558872305
Gene Expression,ENSG00000272662,AC073352.1,6976,GRCh38,2,2,2,0.0,2,2,2,0.0
Gene Expression,ENSG00000113845,TIMMDC1,6977,GRCh38,258,1178,261,0.7784380305602716,247,1135,250,0.7797356828193833
Gene Expression,ENSG00000121594,CD80,6978,GRCh38,80,385,88,0.7714285714285715,78,381,86,0.7742782152230971
Gene Expression,ENSG00000272967,AC073352.2,6979,GRCh38,5,16,5,0.6875,5,16,5,0.6875
Gene Expression,ENSG00000144843,ADPRH,6980,GRCh38,105,433,108,0.7505773672055427,99,418,102,0.7559808612440191
Gene Expression,ENSG00000144837,PLA1A,6981,GRCh38,12,58,13,0.7758620689655172,12,58,13,0.7758620689655172
Gene Expression,ENSG00000121577,POPDC2,6982,GRCh38,15,38,15,0.6052631578947368,15,38,15,0.6052631578947368
Gene Expression,ENSG00000138495,COX17,6983,GRCh38,2363,7492,2871,0.6167912439935932,2277,7309,2781,0.6195101929128473
Gene Expression,ENSG00000286584,AC023494.1,6984,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000183833,MAATS1,6985,GRCh38,1,2,1,0.5,1,2,1,0.5
Gene Expression,ENSG00000239994,AC069444.1,6986,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000144852,NR1I2,6987,GRCh38,1,2,1,0.5,1,2,1,0.5
Gene Expression,ENSG00000082701,GSK3B,6988,GRCh38,1133,5977,1231,0.7940438346996821,1086,5786,1184,0.7953681299688904
Gene Expression,ENSG00000242622,AC092910.3,6989,GRCh38,25,102,26,0.7450980392156863,23,95,24,0.7473684210526316
Gene Expression,ENSG00000175697,GPR156,6990,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163428,LRRC58,6991,GRCh38,805,3829,868,0.773308957952468,775,3744,838,0.7761752136752137
Gene Expression,ENSG00000282950,AC063952.4,6992,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163430,FSTL1,6993,GRCh38,12,41,14,0.6585365853658536,8,33,10,0.696969696969697
Gene Expression,ENSG00000286735,AC126182.3,6994,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000065518,NDUFB4,6995,GRCh38,3677,17869,5252,0.7060831607812412,3514,17408,5083,0.7080078125
Gene Expression,ENSG00000113924,HGD,6996,GRCh38,22,99,24,0.7575757575757576,17,70,18,0.7428571428571429
Gene Expression,ENSG00000144840,RABL3,6997,GRCh38,142,511,147,0.7123287671232876,137,494,142,0.7125506072874495
Gene Expression,ENSG00000153767,GTF2E1,6998,GRCh38,60,223,61,0.726457399103139,58,212,59,0.7216981132075472
Gene Expression,ENSG00000286827,AC072026.2,6999,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000243593,LINC02049,7000,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000287366,AC072026.3,7001,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000145087,STXBP5L,7002,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000287022,AC079841.2,7003,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000051341,POLQ,7004,GRCh38,10,51,10,0.803921568627451,10,51,10,0.803921568627451
Gene Expression,ENSG00000186103,ARGFX,7005,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000163833,FBXO40,7006,GRCh38,2,21,2,0.9047619047619048,2,21,2,0.9047619047619048
Gene Expression,ENSG00000180353,HCLS1,7007,GRCh38,3558,21384,5286,0.7528058361391694,3391,20942,5115,0.7557539872027504
Gene Expression,ENSG00000173230,GOLGB1,7008,GRCh38,1068,4604,1212,0.736750651607298,1021,4478,1163,0.7402858418937026
Gene Expression,ENSG00000173226,IQCB1,7009,GRCh38,592,2330,618,0.7347639484978541,574,2275,600,0.7362637362637363
Gene Expression,ENSG00000145088,EAF2,7010,GRCh38,247,1060,265,0.75,238,1047,256,0.7554918815663801
Gene Expression,ENSG00000163406,SLC15A2,7011,GRCh38,18,71,18,0.7464788732394366,17,70,17,0.7571428571428571
Gene Expression,ENSG00000145103,ILDR1,7012,GRCh38,20,72,20,0.7222222222222222,18,68,18,0.7352941176470589
Gene Expression,ENSG00000114013,CD86,7013,GRCh38,1111,6393,1526,0.7613014234318787,1086,6318,1501,0.7624248179803735
Gene Expression,ENSG00000036828,CASR,7014,GRCh38,2,5,2,0.6,2,5,2,0.6
Gene Expression,ENSG00000121552,CSTA,7015,GRCh38,2956,28286,9852,0.6517004878738599,2745,27684,9622,0.6524346192746713
Gene Expression,ENSG00000160124,CCDC58,7016,GRCh38,390,1587,399,0.7485822306238186,377,1551,386,0.7511283043197937
Gene Expression,ENSG00000114023,FAM162A,7017,GRCh38,2241,11360,2666,0.7653169014084507,2165,11117,2590,0.7670234775568948
Gene Expression,ENSG00000196981,WDR5B,7018,GRCh38,55,263,56,0.7870722433460076,52,253,53,0.7905138339920948
Gene Expression,ENSG00000272758,AC083798.2,7019,GRCh38,420,1521,438,0.7120315581854043,410,1503,428,0.7152361942781105
Gene Expression,ENSG00000114030,KPNA1,7020,GRCh38,559,2038,584,0.7134445534838076,540,1973,564,0.7141409021794223
Gene Expression,ENSG00000287207,AC096861.2,7021,GRCh38,6,16,6,0.625,6,16,6,0.625
Gene Expression,ENSG00000138496,PARP9,7022,GRCh38,740,3089,796,0.7423114276464875,719,3015,775,0.7429519071310116
Gene Expression,ENSG00000163840,DTX3L,7023,GRCh38,613,2504,641,0.7440095846645367,588,2436,616,0.7471264367816092
Gene Expression,ENSG00000173200,PARP15,7024,GRCh38,406,1816,443,0.7560572687224669,391,1747,428,0.7550085861476817
Gene Expression,ENSG00000173193,PARP14,7025,GRCh38,1157,5053,1375,0.7278844250940035,1109,4904,1326,0.7296084828711256
Gene Expression,ENSG00000169087,HSPBAP1,7026,GRCh38,407,1676,423,0.7476133651551313,396,1636,412,0.7481662591687042
Gene Expression,ENSG00000138463,SLC49A4,7027,GRCh38,347,1384,368,0.7341040462427746,338,1350,359,0.7340740740740741
Gene Expression,ENSG00000273033,LINC02035,7028,GRCh38,150,553,155,0.7197106690777577,148,546,153,0.7197802197802198
Gene Expression,ENSG00000082684,SEMA5B,7029,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000065485,PDIA5,7030,GRCh38,73,326,73,0.7760736196319018,73,326,73,0.7760736196319018
Gene Expression,ENSG00000121542,SEC22A,7031,GRCh38,68,146,68,0.5342465753424658,68,146,68,0.5342465753424658
Gene Expression,ENSG00000273454,AC112503.2,7032,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000173175,ADCY5,7033,GRCh38,1,1,1,0.0,0,0,0,0.0
Gene Expression,ENSG00000272678,AC112503.1,7034,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000206527,HACD2,7035,GRCh38,342,1365,349,0.7443223443223443,329,1315,336,0.7444866920152091
Gene Expression,ENSG00000239523,MYLK-AS1,7036,GRCh38,54,193,54,0.7202072538860104,51,189,51,0.7301587301587302
Gene Expression,ENSG00000065534,MYLK,7037,GRCh38,28,96,32,0.6666666666666667,22,90,26,0.7111111111111111
Gene Expression,ENSG00000250174,MYLK-AS2,7038,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000273123,AC020634.2,7039,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000175455,CCDC14,7040,GRCh38,220,817,226,0.7233782129742963,213,794,219,0.7241813602015114
Gene Expression,ENSG00000065371,ROPN1,7041,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000160145,KALRN,7042,GRCh38,19,54,19,0.6481481481481481,18,53,18,0.6603773584905661
Gene Expression,ENSG00000260391,AC022336.2,7043,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000114491,UMPS,7044,GRCh38,248,1017,256,0.7482792527040314,243,999,251,0.7487487487487487
Gene Expression,ENSG00000082781,ITGB5,7045,GRCh38,10,36,11,0.6944444444444444,10,36,11,0.6944444444444444
Gene Expression,ENSG00000244286,ITGB5-AS1,7046,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000173702,MUC13,7047,GRCh38,1,4,1,0.75,1,4,1,0.75
Gene Expression,ENSG00000173706,HEG1,7048,GRCh38,172,670,176,0.7373134328358208,168,664,172,0.7409638554216867
Gene Expression,ENSG00000288022,AC117488.1,7049,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000221955,SLC12A8,7050,GRCh38,3,11,3,0.7272727272727273,3,11,3,0.7272727272727273
Gene Expression,ENSG00000163848,ZNF148,7051,GRCh38,718,2936,767,0.7387602179836512,689,2862,738,0.7421383647798743
Gene Expression,ENSG00000114520,SNX4,7052,GRCh38,573,2209,595,0.7306473517428701,555,2134,577,0.7296157450796625
Gene Expression,ENSG00000144909,OSBPL11,7053,GRCh38,676,3346,745,0.7773460848774656,661,3304,730,0.7790556900726392
Gene Expression,ENSG00000284624,AC092902.4,7054,GRCh38,60,206,61,0.7038834951456311,57,196,58,0.7040816326530612
Gene Expression,ENSG00000272840,AC092902.2,7055,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000287617,AC092902.6,7056,GRCh38,6,10,6,0.4,6,10,6,0.4
Gene Expression,ENSG00000241288,LINC02614,7057,GRCh38,16,51,16,0.6862745098039216,15,50,15,0.7
Gene Expression,ENSG00000248787,AC092903.2,7058,GRCh38,3,11,3,0.7272727272727273,3,11,3,0.7272727272727273
Gene Expression,ENSG00000189366,ALG1L,7059,GRCh38,19,86,19,0.7790697674418605,18,80,18,0.775
Gene Expression,ENSG00000114547,ROPN1B,7060,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000114544,SLC41A3,7061,GRCh38,727,2953,767,0.7402641381645785,705,2888,745,0.7420360110803323
Gene Expression,ENSG00000248607,AC117422.1,7062,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000250012,AC079848.1,7063,GRCh38,9,53,9,0.8301886792452831,9,53,9,0.8301886792452831
Gene Expression,ENSG00000144908,ALDH1L1,7064,GRCh38,1,2,1,0.5,1,2,1,0.5
Gene Expression,ENSG00000250218,ALDH1L1-AS1,7065,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000246022,ALDH1L1-AS2,7066,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000287232,AC079848.2,7067,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000250934,AC016924.1,7068,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000251448,AC063919.1,7069,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000287440,AC063919.2,7070,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163884,KLF15,7071,GRCh38,1,8,1,0.875,1,8,1,0.875
Gene Expression,ENSG00000249833,CCDC37-DT,7072,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163885,CFAP100,7073,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000070476,ZXDC,7074,GRCh38,383,1480,395,0.7331081081081081,373,1431,384,0.7316561844863732
Gene Expression,ENSG00000159650,UROC1,7075,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000180767,CHST13,7076,GRCh38,162,803,172,0.7858032378580324,158,785,168,0.7859872611464969
Gene Expression,ENSG00000180697,C3orf22,7077,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000288436,AC024558.2,7078,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000197763,TXNRD3,7079,GRCh38,17,71,17,0.7605633802816901,17,71,17,0.7605633802816901
Gene Expression,ENSG00000159685,CHCHD6,7080,GRCh38,197,914,204,0.7768052516411379,191,892,198,0.7780269058295964
Gene Expression,ENSG00000114554,PLXNA1,7081,GRCh38,29,89,29,0.6741573033707865,28,88,28,0.6818181818181819
Gene Expression,ENSG00000287784,AC112482.2,7082,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000214324,C3orf56,7083,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000286919,AC133681.1,7084,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000239620,PRR20G,7085,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000244215,LINC02016,7086,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000239921,LINC01471,7087,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000240562,AC016968.1,7088,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000282975,LINC02034,7089,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000282860,AC084035.1,7090,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000163870,TPRA1,7091,GRCh38,631,2932,704,0.7598908594815825,611,2879,684,0.7624175060784995
Gene Expression,ENSG00000073111,MCM2,7092,GRCh38,54,265,63,0.7622641509433963,52,261,61,0.7662835249042146
Gene Expression,ENSG00000285600,AC023593.1,7093,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000114631,PODXL2,7094,GRCh38,88,386,89,0.7694300518134716,84,368,85,0.7690217391304348
Gene Expression,ENSG00000114626,ABTB1,7095,GRCh38,1281,6795,1415,0.7917586460632818,1237,6625,1371,0.7930566037735849
Gene Expression,ENSG00000074416,MGLL,7096,GRCh38,371,2452,481,0.8038336052202284,348,2338,454,0.8058169375534645
Gene Expression,ENSG00000287143,AC117480.1,7097,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000187715,KBTBD12,7098,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000058262,SEC61A1,7099,GRCh38,1534,7295,1758,0.7590130226182317,1468,7097,1692,0.7615894039735099
Gene Expression,ENSG00000175792,RUVBL1,7100,GRCh38,136,539,141,0.738404452690167,126,524,131,0.75
Gene Expression,ENSG00000239608,RUVBL1-AS1,7101,GRCh38,6,17,6,0.6470588235294117,6,17,6,0.6470588235294117
Gene Expression,ENSG00000132394,EEFSEC,7102,GRCh38,510,2266,526,0.7678729037952339,485,2167,501,0.768804799261652
Gene Expression,ENSG00000285619,AL449214.1,7103,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000179407,DNAJB8,7104,GRCh38,1,2,1,0.5,1,2,1,0.5
Gene Expression,ENSG00000242049,DNAJB8-AS1,7105,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000179348,GATA2,7106,GRCh38,23,373,81,0.7828418230563002,21,355,79,0.7774647887323943
Gene Expression,ENSG00000244300,GATA2-AS1,7107,GRCh38,8,35,8,0.7714285714285715,8,35,8,0.7714285714285715
Gene Expression,ENSG00000286806,AC080005.1,7108,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000198685,LINC01565,7109,GRCh38,2,13,2,0.8461538461538461,2,13,2,0.8461538461538461
Gene Expression,ENSG00000163902,RPN1,7110,GRCh38,2274,10666,2726,0.7444215263453966,2200,10438,2651,0.7460241425560452
Gene Expression,ENSG00000075785,RAB7A,7111,GRCh38,2677,14847,3425,0.7693136660604836,2559,14501,3307,0.7719467622922557
Gene Expression,ENSG00000261159,AC112484.3,7112,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000231305,AC112484.1,7113,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000287110,AC112484.5,7114,GRCh38,1,6,1,0.8333333333333334,0,0,0,0.0
Gene Expression,ENSG00000177646,ACAD9,7115,GRCh38,171,828,178,0.7850241545893719,161,789,168,0.7870722433460076
Gene Expression,ENSG00000114656,KIAA1257,7116,GRCh38,14,53,15,0.7169811320754718,13,52,14,0.7307692307692308
Gene Expression,ENSG00000114654,EFCC1,7117,GRCh38,1,5,1,0.8,1,5,1,0.8
